potato,de aardappel
please,alsjeblieft
always,altijd
anything else,anders nog iets
endive,de andijvie
punnet,het bakje
turn,de beurt
cauliflower,de bloemkool
to go shopping,boodschappen doen
bean,de boon (het boontje)
bunch,het bosje
foreigner,de buitenlander
cent,de cent
mushroom,de champignon
courgette,de courgette
expensive,duur
there,er
with it,erbij
euro,de euro
fruit,het fruit
yellow,geel
enough,genoeg
dish,het gerecht
cheap,goedkoop
vegetable,de groente
greengrocer,de groenteboer
half,half
delicious,heerlijk
how much / how many,hoeveel
kilo,de kilo
small,klein
garlic,de knoflook
cucumber,de komkommer
to cost,kosten
market,de markt
nice,mooi
of course,natuurlijk
to need,nodig hebben
about,ongeveer
"bell pepper, sweet pepper",de paprika
person,de persoon
parsley,de peterselie
nice,prettig
price,de prijs
butcher,de slager
sorry,sorry
bacon,het spekje
mashed potato and vegetables,de stamppot
tomato,de tomaat
typical,typisch
often,vaak
much,veel
anything else,verder nog (iets)
fresh,vers
where to,waarnaartoe
weekend,het weekend
quite,wel
vegetables,groente
courgette,de courgette
eggplant,de aubergine
bell pepper/sweet pepper,de paprika
tomato,de tomaat
endive,de andijvie
potato,de aardappel
cauliflower,de bloemkool
mushroom,de champignon
parsley,de peterselie
bean,het boontje
garlic,de knoflook
cucumber,de komkommer
lettuce,de sla
broccoli,de broccoli
cabbage,de kool
white cabbage,de witte kool
red cabbage,de rode kool
curly kale,de boerenkool
sauerkraut,de zuurkool
onion,de ui
carrot,de wortel
fruit,fruit
apple,de appel
pear,de peer
orange,de sinaasappel
mandarin,de mandarijn
kiwifruit,de kiwi
banana,de banaan
strawberry,de aardbei
grape,de druif
peach,de perzik
plum,de pruim
cherry,de kers
