to pay / settle the bill,afrekenen
everything,alles
please,alstublieft
to thank,bedanken
thanks,bedankt
to order,bestellen
to pay,betalen
beer,het bier(tje)
cafe / pub,het café
cola,de cola
thank you,dank je / u wel
this,dit
to drink,drinken
first,eerst(e)
each other,elkaar
French,Frans
congratulations,gefeliciteerd
to give,geven
glass,het glas
good,goed
please,graag
would like,graag willen
the same,hetzelfde
idea,het idee
once,"een keer, de keer"
to know,kennen
may / to be allowed to,mogen
to take,nemen
another,nog maar
well,nou
waiter,de ober
short while,het poosje
nice,prettig
cheers,proost
bill,de rekening
to call,roepen
round,het rondje
red,rood
together,samen
Spanish,Spaans
to treat,trakteren
birthday,de verjaardag
happy birthday,op je verjaardag
to celebrate,vieren
wine,de wijn
to would like,(graag) willen
South African,Zuid-Afrikaans
will / shall,zullen
pleased to meet you,prettig met je kennis te maken (kennismaken)
it is my treat,ik trakteer (trakteren)
